===== Simulator configuration =====
BLOCKSIZE:		 32
L1_SIZE:		 262144
L1_ASSOC:		 4
L2_SIZE:		 0
L2_ASSOC:		 0
REPLACEMENT POLICY:	 FIFO
INCLUSION PROPERTY:	 non-inclusive
trace_file:		 ./traces/gcc_trace.txt
===== L1 contents =====
Set 	430:		4003 D  4004 D  4005 D  0    
Set 	431:		4003 D  4004 D  4005 D  0    
Set 	432:		4003 D  4004 D  4005 D  0    
Set 	433:		4003 D  4004 D  4005 D  0    
Set 	434:		4003 D  4004 D  4005 D  0    
Set 	435:		4003 D  4004 D  4005 D  0    
Set 	436:		4003 D  4004 D  4005 D  0    
Set 	437:		4003 D  4004 D  4005 D  0    
Set 	438:		4003 D  4004 D  4005 D  0    
Set 	439:		4003 D  4004 D  4005 D  0    
Set 	440:		4003 D  4004 D  4005 D  0    
Set 	441:		4003 D  4004 D  4005 D  0    
Set 	442:		4003 D  4004 D  4005 D  0    
Set 	443:		4002 D  4003 D  4004 D  4005 D  
Set 	444:		4003 D  4004 D  4005 D  0    
Set 	445:		4002 D  4003 D  4004 D  4005 D  
Set 	446:		4003 D  4004 D  4005 D  0    
Set 	447:		4003 D  4004 D  4005 D  0    
Set 	448:		4003 D  4004 D  4005 D  0    
Set 	449:		4003 D  4004 D  4005 D  0    
Set 	450:		4003 D  4004 D  4005 D  0    
Set 	451:		4003 D  4004 D  4005 D  0    
Set 	452:		4002 D  4003 D  4004 D  4005 D  
Set 	453:		4003 D  4004 D  4005 D  0    
Set 	454:		4003 D  4004 D  4005 D  0    
Set 	455:		4000    4003 D  4004 D  4005 D  
Set 	456:		7b03 D  4003 D  4004 D  4005 D  
Set 	457:		7b03 D  4003 D  4004 D  4005 D  
Set 	458:		4003 D  4004 D  4005 D  0    
Set 	459:		4005 D  7b03 D  4003 D  4004 D  
Set 	460:		4003 D  4004 D  4005 D  0    
Set 	461:		4003 D  4004 D  4005 D  0    
Set 	462:		4003 D  4004 D  4005 D  0    
Set 	463:		7b03 D  4003 D  4004 D  4005 D  
Set 	464:		7b03 D  4003 D  4004 D  4005 D  
Set 	465:		4003 D  4004 D  4005 D  0    
Set 	466:		4002 D  4003 D  4004 D  4005 D  
Set 	467:		4002    4003 D  4004 D  4005 D  
Set 	468:		4003 D  4004 D  4005 D  0    
Set 	469:		4003 D  4004 D  4005 D  0    
Set 	470:		4002 D  4003 D  4004 D  4005 D  
Set 	471:		7b03 D  4003 D  4004 D  4005 D  
Set 	472:		4003 D  4004 D  4005 D  0    
Set 	473:		4002 D  4003 D  4004 D  4005 D  
Set 	474:		4003 D  4004 D  4005 D  0    
Set 	475:		4002 D  4003 D  4004 D  4005 D  
Set 	476:		7b03 D  4003 D  4004 D  4005 D  
Set 	477:		7b03 D  4003 D  4004 D  4005 D  
Set 	478:		7b03 D  4003 D  4004 D  4005 D  
Set 	479:		7b03 D  4003 D  4004 D  4005 D  
Set 	480:		4003 D  4004 D  4005 D  0    
Set 	481:		4003 D  4004 D  4005 D  0    
Set 	482:		4003 D  4004 D  4005 D  0    
Set 	483:		4003 D  4004 D  4005 D  0    
Set 	484:		4002    4003 D  4004 D  4005 D  
Set 	485:		4003 D  4004 D  4005 D  0    
Set 	486:		4003 D  4004 D  4005 D  0    
Set 	487:		4003 D  4004 D  4005 D  0    
Set 	488:		4003 D  4004 D  4005 D  0    
Set 	489:		4003 D  4004 D  4005 D  0    
Set 	490:		4003 D  4004 D  4005 D  0    
Set 	491:		4003 D  4004 D  4005 D  0    
Set 	492:		4003 D  4004 D  4005 D  0    
