===== Simulator configuration =====
BLOCKSIZE:		 32
L1_SIZE:		 65536
L1_ASSOC:		 2
L2_SIZE:		 0
L2_ASSOC:		 0
REPLACEMENT POLICY:	 LRU
INCLUSION PROPERTY:	 non-inclusive
trace_file:		 ./traces/gcc_trace.txt
===== L1 contents =====
Set 	549:		8008 D  800a D  
Set 	550:		8008 D  800a D  
Set 	551:		8008 D  800a D  
Set 	552:		8008 D  800a D  
Set 	553:		8008 D  800a D  
Set 	554:		800a D  8008 D  
Set 	555:		8008 D  800a D  
Set 	556:		8008 D  800a D  
Set 	557:		8008 D  800a D  
Set 	558:		800a D  8006 D  
Set 	559:		800a D  8008 D  
Set 	560:		8008 D  800a D  
Set 	561:		8006 D  800a D  
Set 	562:		8008 D  800a D  
Set 	563:		8006 D  800a D  
Set 	564:		8006 D  800a D  
Set 	565:		800a D  8006 D  
Set 	566:		8008 D  800a D  
Set 	567:		800a D  8006 D  
Set 	568:		800a D  8006 D  
Set 	569:		8006 D  800a D  
Set 	570:		8006 D  800a D  
Set 	571:		8006 D  800a D  
Set 	572:		800a D  8006 D  
Set 	573:		8006 D  800a D  
Set 	574:		8006 D  800a D  
Set 	575:		8006 D  800a D  
Set 	576:		8006 D  800a D  
Set 	577:		8006 D  800a D  
Set 	578:		800a D  8006 D  
Set 	579:		8006 D  800a D  
Set 	580:		800a D  8006 D  
Set 	581:		800a D  8006 D  
Set 	582:		800a D  8007 D  
Set 	583:		800a D  8006 D  
Set 	584:		800a D  8006 D  
Set 	585:		800a D  8006 D  
Set 	586:		8006 D  800a D  
Set 	587:		8006 D  800a D  
Set 	588:		8006 D  800a D  
Set 	589:		8006 D  800a D  
Set 	590:		8006 D  800a D  
Set 	591:		800a D  8006 D  
Set 	592:		800a D  8006 D  
Set 	593:		8006 D  800a D  
Set 	594:		8006 D  800a D  
Set 	595:		8006 D  800a D  
Set 	596:		800a D  8006 D  
Set 	597:		800a D  8006 D  
Set 	598:		800a D  8006 D  
Set 	599:		8006 D  800a D  
Set 	600:		800a D  8006 D  
Set 	601:		800a D  8006 D  
Set 	602:		800a D  8006 D  
Set 	603:		8006 D  800a D  
Set 	604:		8006 D  800a D  
Set 	605:		8006 D  800a D  
Set 	606:		8006 D  800a D  
Set 	607:		800a D  8006 D  
Set 	608:		8006 D  800a D  
Set 	609:		8006 D  800a D  
Set 	610:		800a D  8006 D  
Set 	611:		800a D  8006 D  
