===== Simulator configuration =====
BLOCKSIZE:		 32
L1_SIZE:		 131072
L1_ASSOC:		 8
L2_SIZE:		 0
L2_ASSOC:		 0
REPLACEMENT POLICY:	 LRU
INCLUSION PROPERTY:	 non-inclusive
trace_file:		 ./traces/gcc_trace.txt
===== L1 contents =====
Set 	200:		108d5    1000f D  10015 D  10014 D  0    0    0    0    
Set 	201:		108d5    1000f D  10015 D  10014 D  0    0    0    0    
Set 	202:		108d5    1000f D  10015 D  10014 D  0    0    0    0    
Set 	203:		1004e D  108d5    1000f D  10015 D  10014 D  0    0    0    
Set 	204:		1000f D  10015 D  10014 D  0    0    0    0    0    
Set 	205:		1000f D  10015 D  10014 D  0    0    0    0    0    
Set 	206:		108d5    1000d    1000f D  10015 D  10014 D  0    0    0    
Set 	207:		108d5    1000f D  10015 D  10014 D  0    0    0    0    
Set 	208:		1000f D  10015 D  10014 D  0    0    0    0    0    
Set 	209:		1000f D  10015 D  10014 D  0    0    0    0    0    
Set 	210:		1004e    1000f D  10015 D  10014 D  0    0    0    0    
Set 	211:		1000f D  10015 D  10014 D  0    0    0    0    0    
Set 	212:		1004e    1000f D  1000d D  10015 D  10014 D  0    0    0    
Set 	213:		1000d D  1000f D  10015 D  10014 D  0    0    0    0    
Set 	214:		1000d D  1000f D  10015 D  10014 D  0    0    0    0    
Set 	215:		108eb    10008 D  1000f D  10015 D  10014 D  0    0    0    
Set 	216:		37e    1000f D  10015 D  10014 D  0    0    0    0    
Set 	217:		1000f D  10015 D  10014 D  0    0    0    0    0    
Set 	218:		1000f D  10015 D  10014 D  0    0    0    0    0    
Set 	219:		1000f D  10015 D  1000c D  10014 D  0    0    0    0    
Set 	220:		1000d D  1000f D  10015 D  1000c D  10014 D  0    0    0    
Set 	221:		1004e    10008    1000f D  10015 D  1000c D  10014 D  0    0    
Set 	222:		10008    1000d D  1000f D  10015 D  1000c D  10014 D  0    0    
Set 	223:		10008    1000f D  10015 D  1000d D  10014 D  1000c D  0    0    
Set 	224:		10008    1000f D  10015 D  10014 D  0    0    0    0    
Set 	225:		10008    1000f D  1000d D  10015 D  10014 D  0    0    0    
Set 	226:		1000f D  10015 D  10014 D  0    0    0    0    0    
Set 	227:		1000f D  10015 D  10014 D  0    0    0    0    0    
Set 	228:		1000f D  10015 D  10014 D  0    0    0    0    0    
Set 	229:		1004e    1000f D  10015 D  10014 D  0    0    0    0    
Set 	230:		37e    1000f D  10015 D  0    0    0    0    0    
Set 	231:		1000f D  10015 D  0    0    0    0    0    0    
Set 	232:		10014 D  1000f D  10015 D  0    0    0    0    0    
Set 	233:		10014 D  1000f D  10015 D  0    0    0    0    0    
Set 	234:		10013    10008    10014 D  1000f D  1000d D  10015 D  0    0    
Set 	235:		10013    10014 D  1000f D  10015 D  0    0    0    0    
Set 	236:		37e    10014 D  1000f D  10015 D  0    0    0    0    
Set 	237:		1004e    10014 D  1000f D  10015 D  0    0    0    0    
Set 	238:		1004e D  10014 D  1000f D  10015 D  0    0    0    0    
Set 	239:		108d4    10014 D  1000f D  10015 D  0    0    0    0    
Set 	240:		108d4    10013    10014 D  1000f D  10015 D  1000e    0    0    
Set 	241:		108d4    10014 D  1000f D  10015 D  0    0    0    0    
Set 	242:		108d4    1000f D  10015 D  0    0    0    0    0    
Set 	243:		1000f D  10015 D  0    0    0    0    0    0    
Set 	244:		1000c D  1000f D  10015 D  0    0    0    0    0    
Set 	245:		10013    1000c D  1000f D  10015 D  0    0    0    0    
Set 	246:		10013    1000f D  1000e D  10015 D  0    0    0    0    
Set 	247:		1000f D  10015 D  1000d D  0    0    0    0    0    
Set 	248:		37e    1000f D  10015 D  0    0    0    0    0    
Set 	249:		1000f D  10015 D  0    0    0    0    0    0    
Set 	250:		1000c D  1000f D  10015 D  0    0    0    0    0    
Set 	251:		1000c D  1000f D  10015 D  0    0    0    0    0    
Set 	252:		10000    1000d D  10013 D  1000f D  10015 D  1000c D  0    0    
Set 	253:		10000    10013 D  1000d D  1000c D  1000f D  10015 D  0    0    
